C:\Users\Joe Xiao\Desktop\Lab\Research\Projects\Thalamus_3D_Map_Project\Data_Analysis\14_04_23k_0003.mpx:10256,SPK 001 - erased samples: 200407025 - 200407039 (2048)(0.092sec)
C:\Users\Joe Xiao\Desktop\Lab\Research\Projects\Thalamus_3D_Map_Project\Data_Analysis\14_04_23k_0003.mpx:11016,AI 017 - erased samples: 25051071 - 25051071 (64)(0.023sec)
C:\Users\Joe Xiao\Desktop\Lab\Research\Projects\Thalamus_3D_Map_Project\Data_Analysis\14_04_23k_0003.mpx:10000,LFP 001 - time: 8764.767 - 8978.327 (213.560sec)
C:\Users\Joe Xiao\Desktop\Lab\Research\Projects\Thalamus_3D_Map_Project\Data_Analysis\14_04_23k_0003.mpx:10128,SEG 001 - time: 8764.850 - 8977.188 (212.338sec)
C:\Users\Joe Xiao\Desktop\Lab\Research\Projects\Thalamus_3D_Map_Project\Data_Analysis\14_04_23k_0003.mpx:10256,SPK 001 - time: 8764.767 - 8978.327 (213.560sec)
C:\Users\Joe Xiao\Desktop\Lab\Research\Projects\Thalamus_3D_Map_Project\Data_Analysis\14_04_23k_0003.mpx:11016,AI 017 - time: 8764.767 - 8978.327 (213.560sec)
C:\Users\Joe Xiao\Desktop\Lab\Research\Projects\Thalamus_3D_Map_Project\Data_Analysis\14_04_23k_0006.mpx:10000,LFP 001 - erased samples: 15385177 - 15385226 (64)(0.046sec)
C:\Users\Joe Xiao\Desktop\Lab\Research\Projects\Thalamus_3D_Map_Project\Data_Analysis\14_04_23k_0006.mpx:10256,SPK 001 - erased samples: 246161793 - 246163455 (2048)(0.092sec)
C:\Users\Joe Xiao\Desktop\Lab\Research\Projects\Thalamus_3D_Map_Project\Data_Analysis\14_04_23k_0006.mpx:11016,AI 017 - erased samples: 30770417 - 30770431 (64)(0.023sec)
C:\Users\Joe Xiao\Desktop\Lab\Research\Projects\Thalamus_3D_Map_Project\Data_Analysis\14_04_23k_0006.mpx:10000,LFP 001 - time: 10831.610 - 11028.140 (196.530sec)
C:\Users\Joe Xiao\Desktop\Lab\Research\Projects\Thalamus_3D_Map_Project\Data_Analysis\14_04_23k_0006.mpx:10128,SEG 001 - time: 10832.963 - 11027.822 (194.859sec)
C:\Users\Joe Xiao\Desktop\Lab\Research\Projects\Thalamus_3D_Map_Project\Data_Analysis\14_04_23k_0006.mpx:10256,SPK 001 - time: 10831.610 - 11028.140 (196.530sec)
C:\Users\Joe Xiao\Desktop\Lab\Research\Projects\Thalamus_3D_Map_Project\Data_Analysis\14_04_23k_0006.mpx:11016,AI 017 - time: 10831.610 - 11028.140 (196.530sec)
